Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,160094,-,b'Karnataka',b'India',12.98,77.59,5,931,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Wind Speed,Pressure,Solar Zenith Angle
2019,1,1,0,0,0,0,0,19.1,2.5,912,169.76
2019,1,1,1,0,0,0,0,18.900000000000002,2.4000000000000004,912,161.1
2019,1,1,2,0,0,0,0,18.7,2.4000000000000004,911,148.18
2019,1,1,3,0,0,0,0,18.400000000000002,2.9000000000000004,911,134.54
2019,1,1,4,0,0,0,0,18.2,2.7,912,120.75
2019,1,1,5,0,0,0,0,9.9,1.1,916,107.03
2019,1,1,6,0,0,0,0,10.5,1.3,917,93.44
2019,1,1,7,0,137,464,57,13.9,2.4000000000000004,918,80.07000000000001
2019,1,1,8,0,386,786,84,19,3.3000000000000003,918,67.36
2019,1,1,9,0,615,920,94,22.3,3.5,918,55.54
2019,1,1,10,0,792,987,99,25.1,3.5,917,45.38
2019,1,1,11,0,902,1022,100,27.400000000000002,3.5,916,38.25
2019,1,1,12,0,934,1032,99,29.1,3.6,914,36.03
2019,1,1,13,0,885,1024,96,29.8,3.6,913,39.54
2019,1,1,14,0,753,975,95,29.8,3.8000000000000003,913,47.54
2019,1,1,15,0,565,912,85,29,3.9000000000000004,913,58.18
2019,1,1,16,0,332,782,68,27.1,3.4000000000000004,914,70.27
2019,1,1,17,0,90,453,36,21.6,1.9000000000000001,914,83.11
2019,1,1,18,0,0,0,0,19.8,2.5,915,96.59
2019,1,1,19,0,0,0,0,18.900000000000002,3.1,916,110.23
2019,1,1,20,0,0,0,0,17.400000000000002,3,916,124.01
2019,1,1,21,0,0,0,0,15.9,2.5,916,137.79
2019,1,1,22,0,0,0,0,14.700000000000001,2.1,916,151.36
2019,1,1,23,0,0,0,0,13.600000000000001,1.9000000000000001,915,163.9
2019,1,2,0,0,0,0,0,12.4,1.6,915,169.88
2019,1,2,1,0,0,0,0,11.4,1.3,915,161.27
2019,1,2,2,0,0,0,0,10.5,1.2000000000000002,914,148.33
2019,1,2,3,0,0,0,0,9.8,1.2000000000000002,915,134.68
2019,1,2,4,0,0,0,0,10,1.4000000000000001,915,120.89
2019,1,2,5,0,0,0,0,10.200000000000001,2.1,916,107.13
2019,1,2,6,0,0,0,0,9.5,1.6,917,93.53
2019,1,2,7,0,146,573,48,12.8,2.7,918,80.15
2019,1,2,8,0,397,844,73,18.3,3.5,918,67.42
2019,1,2,9,0,619,944,86,22.8,4.4,918,55.58
2019,1,2,10,0,794,995,96,26,4.7,917,45.38
2019,1,2,11,0,894,1005,105,28.1,4.5,915,38.21
2019,1,2,12,0,924,1006,109,29.3,4.2,914,35.94
2019,1,2,13,0,869,983,109,29.8,4.1000000000000005,913,39.42
2019,1,2,14,0,745,948,104,29.700000000000003,4.2,913,47.4
2019,1,2,15,0,555,873,93,28.700000000000003,4.2,913,58.050000000000004
2019,1,2,16,0,324,734,74,26.8,3.8000000000000003,914,70.14
2019,1,2,17,0,87,400,38,21.700000000000003,2.1,915,82.98
2019,1,2,18,0,0,0,0,19.900000000000002,2.5,916,96.47
2019,1,2,19,0,0,0,0,19.1,3.2,916,110.12
2019,1,2,20,0,0,0,0,17.900000000000002,3.3000000000000003,917,123.9
2019,1,2,21,0,0,0,0,16.5,3,917,137.69
2019,1,2,22,0,0,0,0,15.200000000000001,2.5,916,151.28
2019,1,2,23,0,0,0,0,14,2.2,916,163.86
2019,1,3,0,0,0,0,0,12.9,1.8,916,169.98
2019,1,3,1,0,0,0,0,11.9,1.5,916,161.41
2019,1,3,2,0,0,0,0,11.3,1.3,916,148.46
2019,1,3,3,0,0,0,0,11.700000000000001,1.7000000000000002,916,134.8
2019,1,3,4,0,0,0,0,11.600000000000001,2,916,120.99000000000001
2019,1,3,5,0,0,0,0,10.9,1.7000000000000002,917,107.22
2019,1,3,6,0,0,0,0,10.8,2.1,918,93.61
2019,1,3,7,0,141,538,50,13.5,2.6,918,80.22
2019,1,3,8,0,390,822,75,18.900000000000002,3.5,919,67.48
2019,1,3,9,0,618,938,88,23.200000000000003,4.6000000000000005,918,55.61
2019,1,3,10,0,795,993,97,26.1,4.7,918,45.38
2019,1,3,11,0,900,1022,97,28.200000000000003,4.5,916,38.17
2019,1,3,12,0,927,1022,99,29.5,4.3,915,35.84
2019,1,3,13,0,879,1011,97,30.1,4.1000000000000005,914,39.29
2019,1,3,14,0,748,958,98,30,4,914,47.26
2019,1,3,15,0,562,892,88,29.1,4,914,57.910000000000004
2019,1,3,16,0,330,757,71,27.200000000000003,3.5,914,70
2019,1,3,17,0,92,431,38,21.700000000000003,1.8,915,82.85000000000001
2019,1,3,18,0,0,0,0,19.700000000000003,2,915,96.35000000000001
2019,1,3,19,0,0,0,0,18.6,2.1,916,110
